date,owner,ticker,asset_description,asset_type,type,amount,senator,period_end,period_start,close,max/min,perc_off
2020-11-20,Spouse,RODM,Hartford Multifactor Developed Markets (ex-US) ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,27.387609481811523,24.67547607421875,10.991210055827224
2020-11-20,Spouse,PTLC,Pacer Trendpilot US Large Cap ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,30.95276641845703,28.12359046936035,10.0597964267008
2020-11-20,Spouse,PTNQ,Pacer Trendpilot 100 ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,49.86005783081055,45.49905014038086,9.584832379960503
2020-11-20,Spouse,PTMC,Pacer Trendpilot US Mid Cap ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,31.49428558349609,26.14145088195801,20.47642545055689
2020-11-20,Spouse,DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth F,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,35.99738311767578,29.39357566833496,22.46683943408408
2020-11-20,Spouse,MAXR,Maxar Technologies Inc.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,26.74277114868164,21.55417251586914,24.072362921807468
2020-11-20,Spouse,ARNA,"Arena Pharmaceuticals, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,64.83000183105469,63.29999923706055,2.417065738443739
2020-11-20,Spouse,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,100.13999938964844,100.11002349853516,0.029942946835603834
2020-11-20,Spouse,KEYS,"Keysight Technologies, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,116.16999816894531,90.69000244140624,28.095705195290293
2020-11-20,Spouse,PAGS,PagSeguro Digital Ltd.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,42.56999969482422,35.15999984741211,21.075084981712564
2020-11-20,Spouse,CTVA,"Corteva, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,37.15999984741211,44.58000183105469,16.644238848984884
2020-11-20,Spouse,VIAV,Viavi Solutions Inc.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,13.6899995803833,11.399999618530273,20.08771963580348
2020-11-20,Spouse,SI,Silvergate Capital Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,30.5,13.6899995803833,122.79036475431391
2020-11-20,Spouse,CRWD,"CrowdStrike Holdings, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,145.72000122070312,111.24500274658205,30.990154724213284
2020-11-20,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,62.26081466674805,86.36000061035156,27.905495337287974
2020-11-20,Spouse,DDOG,"Datadog, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,89.08999633789062,79.56999969482422,11.9643039833839
2020-11-20,Spouse,EVOP,"EVO Payments, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,25.5,21.06999969482422,21.02515600066191
2020-11-20,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$50,001 - $100,000",Thomas R Carper,2021-02-10,2020-08-21,117.1649169921875,142.94639587402344,18.03576699097526
2020-11-20,Spouse,GLW,Corning Incorporated,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,36.29999923706055,30.40295791625977,19.39627498430667
2020-11-20,Spouse,HAL,Halliburton Company,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,15.858108520507812,22.1299991607666,28.341124618648763
2020-11-20,Spouse,PAAS,Pan American Silver Corp.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,30.79999923706055,28.1200008392334,9.530577232728902
2020-11-20,Spouse,TMO,Thermo Fisher Scientific Inc.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,450.8294982910156,404.90411376953125,11.342286472205316
2020-11-20,Spouse,LUBFX,Lord Abbett Ultra Short Bond Fund Class F,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,10.034000396728516,10.021014213562012,0.1295895095022246
2020-11-16,Spouse,RIO,Rio Tinto Group,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-17,63.16999816894531,55.41999816894531,13.984121717894112
2020-10-16,Child,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,2021-01-15,2020-07-17,552.296875,404.9491882324219,36.38670999952899
2020-10-16,Child,WDAY,"Workday, Inc.",Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,2021-01-15,2020-07-17,229.4499969482422,177.47000122070312,29.2894547641865
2020-10-13,Spouse,BBY,"Best Buy Co., Inc.",Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,2021-01-12,2020-07-14,117.563720703125,122.38720703125,3.941168725987339
2020-10-13,Spouse,NVAX,"Novavax, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,2021-01-12,2020-07-14,117.27999877929688,178.50999450683594,34.30059806830272
2020-10-30,Spouse,IJR,iShares Core S&amp;P Small-Cap ETF,Other Securities,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2021-01-29,2020-07-31,71.8201904296875,101.33000183105469,29.122481859388742
2020-09-09,Joint,CB,Chubb Limited,Stock,Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse,2020-12-09,2020-06-10,120.8018035888672,154.6336212158203,21.878694530301686
2020-09-30,Joint,TT,Trane Technologies plc,Stock,Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse,2020-12-30,2020-07-01,120.8047866821289,151.88026428222656,20.460510617990934
2020-09-30,Self,TT,Trane Technologies plc,Stock,Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse,2020-12-30,2020-07-01,120.8047866821289,151.88026428222656,20.460510617990934
2020-09-11,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",William Cassidy,2020-12-11,2020-06-12,111.6402816772461,133.74903869628906,16.53003059651627
2020-09-14,Child,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,2020-12-14,2020-06-15,476.260009765625,556.5499877929689,14.426373153962032
2020-09-23,Child,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,2020-12-23,2020-06-24,470.6099853515625,556.5499877929689,15.441560385654924
2020-09-24,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-12-24,2020-06-25,22.77522087097168,20.96723747253418,8.622897512396904
2020-09-22,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-12-22,2020-06-23,23.41677474975586,20.96723747253418,11.682689626759014
